"fecha","puesto","puntos","nombre","id","club","federacion"
"2024-02-12 09:03:33.357037","6","435.0","SANCHEZ TOME, DANIEL","7001497","NISSEISHI","CLM"
"2024-02-12 09:03:33.357390","7","425.0","DOMINGUEZ HORAS, ALFREDO","9002035","KARATE NO KACHI LES FRANQUESES","CAT"
"2024-02-12 09:03:33.357910","8","275.0","GARCIA DE GARAYO, GORKA","19005118","GIMNASIO FITNESS GASTEIZ","PVS"
"2024-02-12 09:03:33.358350","9","230.0","SHOTTE CABELLO, ZSAMORAN","1001461","C.D. KARATE CIUDAD JARDIN","AND"
"2024-02-12 09:03:33.358723","10","202.5","MEDINA CISNEROS, ANGEL","1002121","ASOCIACION KARATE AXARQUIA","AND"
"2024-02-12 09:03:33.359101","11","200.0","MARÍN VILLALOBOS, LORENZO CARLOS","1002133","C.D. GOJU RYU TORREMOLINOS","AND"
"2024-02-12 09:03:33.359523","12","195.0","HERNÁNDEZ MORENO, DIEGO","5004843","GIMNASIO VISTABELLA","CNR"
"2024-02-12 09:03:33.360076","13","180.0","CASTELLANO SOTO, ALBERTO","5007784","CLUB DEPORTIVO ACD NEKO","CNR"
"2024-02-12 09:03:33.360511","14","155.0","OUCHKIR, HASSAN","19005258","BERGARAKO SHOTOKAN","PVS"
"2024-02-12 09:03:33.361550","15","150.0","ZAKARIA, AYOUB","14005130","SHIN DO SANKUKAI","RIO"
"2024-02-12 09:03:33.361867","15","150.0","MARTINEZ ALONSO, GORKA","8003848","FUJISAN - PALENCIA","CAL"
"2024-02-12 09:03:33.362190","17","147.5","POKU OWUSU, MARCOS","14005390","SANKUKAI","RIO"
"2024-02-12 09:03:33.362574","18","137.5","LLORENTE SÁNCHEZ, ALVARO","6004069","NORBERTO ORTIZ","CNT"
"2024-02-12 09:03:33.362882","19","122.5","RODRIGUEZ RODRIGUEZ, PEDRO","11017496","ASOCIACIÓN DEPORTIVA OAKI","EXT"
"2024-02-12 09:03:33.363189","20","117.5","FELPETO GESTO, CARLOS","12102239","KARATE-DO CARBALLO","GAL"
"2024-02-12 09:03:33.363545","21","112.5","VALERO MONDEJAR, YAGO","14003674","SANKUKAI","RIO"
"2024-02-12 09:03:33.363854","22","110.0","CISNEROS MORALES, DIEGO","8005088","MASTER 10","CAL"
"2024-02-12 09:03:33.364285","23","95.0","GIL GARROTE, JUAN LUIS","1006168","KARATE KIME-CESAR MARTINEZ","AND"
"2024-02-12 09:03:33.364632","24","87.5","GARCIA VERNETTA, JORGE","4004165","KENKYO","VAL"
"2024-02-12 09:03:33.364940","24","87.5","NAJI, AMIN","2005333","CLUB FEDERACIÓN ARAGONESA DE KARATE","ARG"
"2024-02-12 09:03:33.365248","24","87.5","CABALLERO LINO, HECTOR","7002564","KIDOKAN","CLM"
"2024-02-12 09:03:33.365587","27","82.5","RAMIREZ SMITH, MAX","1003696","C.D. GOJU RYU TORREMOLINOS","AND"
"2024-02-12 09:03:33.365894","27","82.5","ÁNGULO MARTÍNEZ, JON","19005806","SANTA TERESA","PVS"
"2024-02-12 09:03:33.366196","29","75.0","GÓMEZ MOLLA, JOSE","4004175","ESCUELA ARTES MARCIALES TXENTXO","VAL"
